#introduction

introduction,i-xiii
getObject() method,390
methods|getOne(),390
related objects|CreatedBy,390
CreatedBy related object,390
getOne() method,390
related objects|DeletedBy,390
DeletedBy related object,390
methods|getCollection(),390
getCollection() method,390
related objects|PublishedBy,390-391
PublishedBy related object,390-391
methods|get(),391
get() method,391
getCollectionGraph() method,391
methods|getCollectionGraph(),391
related objects|Profile,391-397
Profile related object,391-397
database|retrieving users from,392-393
retrieving|users from database,392-393
methods|getCollection(),392-393
getCollection() method,392-393
methods|getOne(),392
getOne() method,392
Peoples add-on component,392
methods|newQuery(),393
newQuery() method,393
methods|getSelectColumns(),393
getSelectColumns() method,393
methods|innerJoin(),393
innerJoin() method,393
queries|innerJoin() method, 393
xPDO queries|innerJoin() method, 393
methods|getCollection(),393
getCollection() method,393
sanity checking,393
extended user fields in code,393-397
tutorials|user extended fields in code,393-397
user extended fields in code tutorial,393-397
snippets|extended user fields in,393-397
UpdateProfile snippet,396
Register snippet,394
snippets|Register,394
snippets|UpdateProfile,396
Register snippet,396
snippets|UpdateProfile,396
Profile snippet,396
snippets|Profile,396
snippets|Register,396
JSON,395
methods|getObjectGraph(),
getObjectGraph() method,396
methods|getObjectGraph(),396
methods|set(),397
set() method,397
methods|save(),397
save() method,397
methods|getCollectionGraph(),397
getCollectionGraph() method,397
database|retrieving user extended fields from,397
retrieving|user extended fields from database,397
creating|MODX objects in code,397-409
MODX objects (creating in code),397-409
methods|newObject(),397
newObject() method,397
resources|creating in code,398
creating|resources in code,398
creating resources in code tutorial,398
tutorials|creating resources in code,398
methods|newObject(),398
newObject() method,398
methods|set(),399
set() method,399
methods|setContent(),399
methods|newObject(),399
newObject() method,399
setContent() method,399
elements|creating in code,400
creating|elements in code,400
creating elements in code tutorial,400
methods|newObject(),400
newObject() method,400
snippets|creating elements in,400
tutorials|creating elements in code,400
snippets|creating in code,400
creating|snippets in code,400
creating|chunks in code,400
chunks|creating in code,400
snippets|creating chunks in,400
templates|creating in code,400
snippets|creating templates in,400
creating|templates in code,400
methods|setContent(),400
setContent() method,400
methods|save(),400
save() method,400
categories|creating in code,401-402
creating|categories in code,401-402
snippets|creating categories in,401-402
attaching|snippets to categories in code,401-402
snippets|attaching to categories in code,401-402
categories|attaching snippets to in code,401-402
attaching|chunks to categories in code,401-402
chunks|attaching to categories in code,401-402
categories|attaching chunks to in code,401-402
attaching|templates to categories in code,401-402
templates|attaching to categories in code,401-402
categories|attaching templates to in code,401-402
categories|addMany() method,402
addMany() method,402
methods|addMany()402
template variables|creating in code,402-404
creating|template variables in code,402-404
creating template variables in code tutorial,402-404
tutorials|creating template variables in code,402-404
attaching|template variables to templates in code,402-404
template variables|attaching to templates in code,402-404
templates|attaching to template variables in code,402-404
attaching|template variables to templates in code,402-404
snippets|addOne() method,403
addOne() method,403
methods|addOne(),403
methods|newObject(),403
newObject() method,403
methods|getCollection(),403
getCollection() method,403
snippets|creating template variables in,402-404
intersect objects|modTemplateVarTemplate,403
modTemplateVarTemplate intersect object,403
methods|setValue(),404
setValue() method,404
creating|users in code,404
users|creating in code,404
related objects|Profile,404
Profile related object,404
user profile,404-405
methods|newObject(),404
newObject() method,404
methods|set(),404
set() method,404
methods|addOne(),404
addOne() method,404
methods|save(),404
save() method,404
UpdateProfile snippet,405
snippets|UpdateProfile,405
transactions,405-406
xPDO transactions,405-406
MyISAM storage engine,405
InnoDB storage engine,405
methods|beginTransaction(),405
beginTransaction() method,405
methods|rollback(),405
rollback() method,405
methods|commit(),406
commit() method,4-6
user groups|working with in code,406-408
snippets|working with user groups in,406-408
database|retrieving user groups from,406-408
retrieving|user groups from database,406-408
methods|newObject(),406
newObject() method,406
methods|addOne(),406
addOne() method,406
modUserGroupMember intersect object,406
intersect objects|modUserGroupMember,406
methods|newObject(),407
newObject() method,407
methods|addOne(),407
addOne() method,497
methods|joinGroup(),408
joinGroup() method,408
users|joinGroup() method,408
methods|getCollection(),407
getCollection() method,407
methods|newObject(),408
newObject() method,408
methods|addOne(),408
addOne() method,408
roles|working with in code,408
snippets|working with roles,408
intersect objects|modResourceGroupResource,408
modResourceGroupResource intersect object,408
resources|assigning to resource groups in code,408
snippets|assigning resources to resource groups in,408
assigning|resources to resource groups in code,408
intersect objects|modPluginEvent,408
modPluginEvent intersect object,408
snippets|attaching plugins to events in,408
plugins|attaching to events in code,408
attaching|plugins to events in code,408
methods|newObject(),409
newObject() method,409
methods|addOne(),409
addOne() method,409
intersect objects|modElementPropertySet,409
modElementPropertySet intersect object,409
snippets|attaching property sets to elements in,409
attaching|property sets to elements in code,409
property sets|attaching to elements in code,409
elements|attaching property sets to in code,409
MODX|processors,409
processors,409
calling processors in code,409
creating|objects by calling processors,409
resources|creating with processor,409
system settings|automatic_alias,409
automatic_alias system setting,409
custom database tables,409-411
database tables|custom,409-411
database tables|adding to database,409-411
adding|tables to database,409-411
database|adding custom tables to,409-411
xPDO for custom database tables,409-411
custom database table schemas,409-411
schema for custom database files,410-411
methods|writeSchema(),410
writeSchema() method,410
methods|parseSchema(),410
parseSchema() method,410
lexicon|working with in code,411-413
working with the lexicon in code,411-413
lexicon|using in snippets tutorial,411-413
using|lexicon in snippets tutorial,411-413
tutorials|using the lexicon in snippets,411-413
snippets|using the lexicon in,411-413
namespaces,411
creating|namespaces,411
{core_path},411
core directory,411
directories|core,411
MODX|core directory,411
creating|lexicon files,412
files|creating lexicon files,412
lexicon files|creating,412
lexicon files|location of,412
lexicon files|loading in code,412
files|lexicon,412
methods|getService(),
getService() method,412
methods|lexicon->load(),412
snippets|loading lexicon files,412
files|loading lexicon files in snippets,412
lexicon->load() method,412
lexicon strings|in code,413
snippets|displaying lexicon strings,413
displaying|lexicon strings with code,413
tutorials|page count snippet,413-414
page count snippet tutorial,413-414
template variables|setValue() method,414
methods|setValue(),414
setValue() method,414
Evolution|getChildIds() method,416
MODX Evolution|getChildIds() method,416
getChildIds() method in Evolution,416
Evolution|getParentIds() method,416
MODX Evolution|getParentIds() method,416
getParentIds() method in Evolution,416
Evolution|getChunk() method,416
MODX Evolution|getChunk() method,416
getChunk() method in Evolution,416
Evolution|parseChunk() method,416
MODX Evolution|parseChunk() method,416
parseChunk() method in Evolution,416
Evolution|runSnippet() method,416
MODX Evolution|runSnippet() method,416
runSnippet() method in Evolution,416
Evolution|retrieving system settings,416
MODX Evolution|retrieving system settings,416
retrieving system settings in Evolution,416
Evolution|lexicon strings,416
MODX Evolution|lexicon strings,416
lexicon strings|in Evolution,416
Evolution|DBAPI,416
MODX Evolution|DBAPI,416
DBAPI in Evolution,416

#Chapter 9 Site Organization and Contexts

site organization,419-423
MODX|site organization,419-423
Advanced distribution of MODX,420-421
MODX|Advanced distribution,420-421
security|reorganizing site for,420-423
Traditional distribution of MODX,420-423
MODX|Traditional distribution,420-423
config.inc.php file|Revolution,420-423
files|MODX config,420-423
files|config.inc.php,420-423
MODX|config file,420-423
MODX|root directory,420
admin Super user,420
directories|root,420
root directory,420
directories|manager,420
manager directory,420
directories|connectors,420
connectors directory,420
directories|setup,420
setup directory,420
setup/includes directory,420
location of config.core.php files,420
config.core.php files,420
files|config.core.php,420
moving the MODX core directory,421-422
core directory,421-422
directories|core,421-422
MODX|core directory (moving),421-422
directories|moving the core,421-422
renaming|the core directory,421-422
directories|renaming the core,421-422
constants|MODX_PROCESSORS_PATH,422
MODX_PROCESSORS_PATH constant,422
public_html directory,422
directories|public_html,422
moving MODX manager directory,423
directories|moving manager,423
renaming|MODX manager directory,423
directories|renaming manager,423
contexts,424-434
MODX|contexts,424-434
contexts|uses for,424
contexts|mgr,424-425
contexts|web,424-425
mgr context,424-425
web context,424-425
MODX|mgr context,424-425
MODX|web context,424-425
database|sharing between sites,425
sharing|database between sites,425
MODX|sharing database between sites,425
MODX|table prefix,425
table prefix,425
database|table prefix,425
sharing|core between sites,425-426
core directory,425-426
directories|core,425-426
MODX|core directory,425-426
MODX|sharing core between sites,425-426
contexts|sharing core between sites,425-426
index.php file|separate contexts,426-428
MODX|index.php file (separate contexts),426-428
files|index.php (separate contexts),426-428
contexts|in separate directories,426-431
contexts|initialize() method,426-427
methods|initialize() (contexts),426-427
initialize() method (contexts),426-427
.htaccess file,426
files|.htaccess,426
MODX|.htaccess file,426
alt context,426-433
contexts|alt,426-433
creating|a second context,426-433
contexts|creating a second,426-433
settings|context,428-429
contexts|settings,428-429
system settings|site_start,428
site_start system setting,428
context settings|site_start,428
contexts|site_start setting,428
contexts|base_url setting,428
context settings|base_url,428
base_url context setting,428
system settings|base_url,428
base_url system setting,428
contexts|site_url setting,429
context settings|site_url,429
site_url context setting,429
system settings|site_url,429
site_url system setting,429
contexts|default_template setting,429
context settings|default_template,429
default_template context setting,429
context settings|default_template,429
base href tag,429
tags|base href,429
http_host system setting,429
system settings|http_host,429
http_host context setting,429
contexts|http_host setting,429
context settings|http_host,429
virtual hosts,429-431
creating|virtual hosts,429-431
cPanel,429
hosts file,430
httpd-vhosts.conf file,430
files|hosts,430
files|httpd-vhosts.conf430
apache/bin directory,430
directories|apache.bin,430
context settings|http_host,431
http_host context setting,431
two contexts in same directory,431-432
contexts|two in the same directory,431-432
httpd-vhosts.conf file,430-431
files|httpd-vhosts.conf,430-431
DocumentRoot,430
DocumentRoot,431
virtual domain,431
Gateway plugin,432
plugins|Gateway,432
contexts|Gateway plugin,432
system events|OnHandleRequest,432
OnHandleRequest system event,432
web context,432
alt context,432
contexts|web,432
contexts|alt,432
context settings|default_template,432
default_template context setting,432
admin Super user,433
contexts|security permissions,433
security|permissions for contexts,433
permissions|for contexts,433
contexts|sharing core between sites,433
core directory,433
core directory|sharing between sites,433
directories|core,433
MODX|core directory,433
sharing|core with multiple contexts,433
MODX|multiple sites sharing core,433
MODX|sharing core between sites,433
multi-language sites,434
sites (multi-language),434
Evolution|contexts,435
MODX Evolution|contexts,435
contexts|in Evolution,435

#Chapter 10 MODX Security

MODX|security system,437-496
security|system,437-496
permissions system,437-496
security|overview,438-441
permissions system overview,438-441
protection of MODX objects,438-439
security|protection,438-439
resources|protected,438-439
resources|hiding in the Manager,438-439
hiding|resources in the Manager,438-439
Access Control Lists|entries,438
ACL entries,438
resource groups,438
admin Super user,439
elements|protected,439
protected|elements,439
protected|contexts,439
contexts|protected,439
system settings|udperms_allowroot,439
udperms_allowroot system setting,439
new_document_in_root permission,439
permissions|new_document_in_root,439
roles|in security permissions,449
security|roles in,449
roles|Revolution versus Evolution,440
security|Revolution versus Evolution,440
access policies,440
security|access policies,440
authority numbers,440
security|authority numbers,440
roles|authority numbers,440
creating|roles,440
roles|creating,440
Create Role dialog,440
dialogs|Create Role,440
multiple security permissions,440
security|permissions,440
permissions|conflicting,440
conflicting permissions,440
permissions|web context,441
web context permissions,441
permissions|mgr context,441
mgr context permissions,441
web users,441
users|manager441,
users|web,441
manager users,441
contexts|web,441
contexts|mgr,441
contexts|front end,441
contexts|back end,441
ACL entries,441
Access Control Lists,441
security|Access Control Lists,441
security|elements,442-453
MODX|security system elements,442-453
Access Control Lists,449-454
admin Super user,442-444
security|default settings,442
default security settings,442
permissions|default settings,442
default permissions,442
flush permissions,442
flush sessions,442
permissions,443
security|permissions,443
permissions|save_element,443
save_element permission,443
permissions|file_tree,443
file_tree permission,443
access policies,443
access policy templates,443
policy templates,443
permissions|removing,445
removing|permissions,445
access policies|creating,443-445
creating|access policies,443-445
Administrator policy,443
Resource policy,443
Element policy,443
policies|Resource,443
policies|Administrator,443
policies|Element,443
policies|Load Only,443
security|access policies,443-445
access policies|Resource,443
access policies|Administrator,443
access policies|Element,443
access policies|Load Only,443
Load Only policy,443
access policies|Load List and View,444
policies|Load List and View,444
Load List and View policy,444
duplicating access policies,444
policies|duplicating,444
access policies|duplicating,444
editing|access policies,444
access policies|editing,444
policies|editing,444
access policies|types of,444-445
policies|types of,444-445
access policies|context access,444-445
policies|context access,444-445
context access policy,444-445
security|context access policy,444-445
access policies|resource group access ACL entries,444-445
security|resource group access policies,444-445
policies|resource group access,444-445
resource group access policies,444-445
access policies|element category,444-445
security|element category access policy,444-445
policies|element category,444-445
element category policies,444-445
access policies|Administrator,444-445
security|Administrator policy,444-445
policies|Administrator,444-445
Administrator policy,444-445
access policies|Resource,444-445
security|Resource policy,444-445
policies|Resource,444-445
Resource policy,444-445
access policies|Element,444-445
security|Element policy,444-445
policies|Element,444-445
Element policy,444-445
access policies|manager action,444-445
security|manager action policies,444-445
policies|manager action,444-445
manager action policy,444-445
access policies|object,444-445
access policies|Object,444
security|object policies,444-445
policies|object,444-445
object policies,444-445
policies|Object,444
Object policy,444
roles|overview,446
Evolution|roles,446
MODX Evolution|roles,446
roles|in Evolution,446
Revolution|roles in,446
roles|in Revolution,446
authority numbers,446
roles|authority numbers,446
roles|creating,446
security|creating roles,446
creating|roles,446
security|removing roles,446
removing|roles,446
roles|removing,446
web users,446-447
manager users,446-447
web context,446-447
contexts|web,446-447
user settings|manager_language,447
manager_language user setting,447
user settings|tre_root_id,447
tree_root_id user setting,447
user groups|creating,447
creating|user groups,447
Create User Group dialog,447
security|creating user groups,447
dialogs|Create User Group,447
admin Super User,447
users|adding to user groups,447
users|removing from user groups,447-448
removing|users from user groups,447-448
deleting|users from user groups,447-448
Add User To Group dialog,447-448
dialogs|Add User to Group,447-448
security|adding users to user groups,447-448
assigning|users to user groups,447-448
users|assigning to user groups,447-448
adding|users to user groups,447-448
user groups|adding users,447-448
user roles,448
security|user roles,448
Update User Role dialog,448
dialogs|Update User Role,448
resource groups,448
security|creating user groups,448
resource groups|creating,448
creating|resource groups,448
Create Resource Group Dialog,448
dialogs|Create Resource Group,448
resources|removing from resource groups,448
removing|resources from resource groups,448
deleting|resources from resource groups,448
Access Control Lists,449-454
security|Access Control Lists,449-454
Access Control Lists|creating entries,449-454
ACL entries|creating,449-454
security|creating ACL entries,449-454
creating|Access Control List entries,449-454
creating ACL entries,449-454
context access ACL entries,449-451
Access Control Lists|context access entries,449-451
ACL entries|context access entries,449-451
security|context access ACL entries,449-451
User Group Context Access dialog,449-451
dialogs|User Group Context Access,449-451
manager action rules,449
permissions|load,449
load permission,449
permissions|save,449
save permission,449
permissions|save_chunk,449
save_chunk permission,449
permissions|publish_document,449
publish_document permission,449
permissions|new_user,449
new_user permission,449
security|minimum role for context access ACL entries,449
admin Super user,450
minimum role for context access ACL entries,450-451
roles|minimum role for context access ACL entries,450-451
access policies|for context access ACL entries,450-451
policies for context access ACL entries,450-451
Administrator user group,450-451
user groups|Administrator,450-451
contexts|mgr,450-451
mgr context,450-451
contexts|mgr,450-451
resource group access ACL entries,451-453
ACL entries|resource group access,451-453
Access Control Lists|resource group access entries,451-453
permissions|save_document,453
save_document permission,453
security|protected resources,451-453
resources|protected,451-453
protected|resources,451-453
security|minimum role for resource group access ACL entries,452
minimum role for resource group access ACL entries,452
roles|minimum role for resource group access ACL entries,452
access policies|for resource group access ACL entries,452
policies for resource group access ACL entries,452
security|policies for resource group access ACL entries,452
ACL entries|element category access,453-554
Access Control Lists|element category access entries,453-554
permissions|save_chunk,453
save_chunk permission,453
security|minimum role for element category access ACL entries,453
minimum role for element category access ACL entries,453
roles|minimum role for element category access ACL entries,453
access policies|for element category access ACL entries,453
policies for element category access ACL entries,453
security|policies for element category access ACL entries,453
permissions|save_document,453
save_document permission,453
permissions|create,453
create permission,453
permissions|view,453
view permission,453
permissions|save,453
save permission,453
permissions|edit,453
edit permission,453
permissions|save_chunk,453
save_chunk permission,453
categories|protected,453
protected|categories,453
security|protected categories,453
tutorials|hiding resources in the Manager,454-460
hiding|resources in the Manager|tutorial,454-460
security|hiding resources in the Manager tutorial,454-460
resources|hiding in the Manager,454-460
system settings|site_start,455
site_start system setting,455
AllDocs resource group,455
resource groups|AllDocs,455
Create Resource Group dialog,455
dialogs|Create Resource Group,455
cancel button,455
user groups|Editors,455
Editors user group,455
EditorAdmin policy,456
policies|EditorAdmin,456
context access ACL entries,456-457
User Group Context Access dialog,456-457
dialogs|User Group Context Access,456-457
creating|context access ACL entries,456-457
security|creating context access ACL entries,456-457
context access ACL entries,456-457
contexts|mgr,456
mgr context,456
access policies|duplicating,456
duplicating access policies,456
policies|duplicating,456
flush permissions,457-458
flush all sessions,457-458
contexts|web,457
web context,457
access policies|EditorAdmin,457
policies|EditorAdmin,457
EditorAdmin policy,457
admin Super user,458-459
access policies|EditorAdmin,458
policies|EditorAdmin,458
Editor role,458
roles|Editor,458
resource group access ACL entries,458-459
creating|resource groups access ACL entries,458-459
security|creating resource groups access ACL entries,458-459
Access Control Lists|resource group access entries,458-459
security|minimum role for resource group access ACL entries,458-459
minimum role for resource group access ACL entries,458-459
roles|minimum role for resource group access ACL entries,458-459
access policies|for resource group access ACL entries,458-459
policies for resource group access ACL entries,458-459
security|policies for resource group access ACL entries,458-459
Add Resource Group dialog,458
dialogs|Add Resource Group,458
ACL entries|resource group access,458-459
AllDocs resource group,458
resource groups|AllDocs,458
access policies|resource,458
policies|resource,458
resource policy,458
flush permissions,458
flush all sessions,458
contexts|mgr,458
mgr context,458
contexts|mgr,459
mgr context,459
access policies|duplicating,459
duplicating access policies,459
News resource group,459
resource groups|News,459
access policies|Load List and View,459
policies|Load List and View,459
Load List and View policy,459
Editor role,459
roles|editor,459
access policies|EditorResource,459
policies|EditorResource,459
EditorResource policy,459
permissions|load,459
load permission,459
permissions|list,459
list permission,459
permissions|view,459
view permission,459
permissions|add_children,459
add_children permission,459
ViewOnly resource group,459
resource groups|ViewOnly,459
Editor role,460
roles|Editor,460
ViewOnly resource group,460
resource groups|ViewOnly,460
access policies|ResourceViewOnly,460
policies|ResourceViewOnly,460
ResourceViewOnly policy,460
access policies|ResourceViewOnly,460
contexts|mgr,460
mgr context,460
contexts|web,460
web context,460
tutorials|limiting access to elements,461-463
limiting access to elements tutorial,461-463
tutorials|limiting element permissions,461-463
limiting element permissions tutorial,461-463
tutorials|hiding elements,461-463
security|hiding elements tutorial,461-463
hiding|elements tutorial,461-463
elements|hiding,461-463
categories|AdminOnly,461
AdminOnly category,461
access policies|EditorElement,462
New Category dialog,42
dialogs|New Category,462
Add Category dialog,462
dialogs|Add Category,462
policies|EditorElement,462
EditorElement policy,462
context access ACL entries,462-463
ACL entries|context access,462-463
flush permissions,462
flush all sessions,462
Editor role,463
roles|Editor,463
access policies|EditorElement,463
policies|EditorElement,463
EditorElement policy,463
tutorials|limiting permissions in the Manager,464-467
limiting permissions in the Manager tutorial,464-467
security|limiting permissions in the Manager tutorial,464-467
permissions|access_permissions,465
access_permissions permission,465
permissions|element_tree,465
element_tree permission,465
permissions|file_tree,465
file_tree permission,465
permissions|resource_tree,465
resource_tree permission,465
permissions|edit_document,465
edit_document permission,465
permissions|save_document,465
save_document permission,465
object policies (editing),465-466
security|editing object policies,465-466
editing|object policies,465-466
permissions|publish,466
publish permission,466
permissions|unpublish,466
unpublish permission,466
permissions|undelete,466
undelete permission,466
permissions|remove,466
remove permission,466
permissions|tree_root_id,466-467
tree_root_id permission,466-467
tutorials|tree_root_id,466-467
tree_root_id tutorial,466-467
Create New Setting dialog,466-467
dialogs|Create New Setting,466-467
admin Super user,467
permissions|filemanager_path,467
filemanager_path permission,467
tutorials|filemanager_path,467
filemanager_path tutorial,467
permissions|tree_root_id,468
tree_root_id permission,468
filemanager_path permission,468
tutorials|filemanager_path,468
controlling access in the front end,468-474
front end|controlling access in,468-474
contexts|web,468
web context,468
tutorials|hiding pages with a snippet,468-470
hiding|pages with a snippet tutorial,468-470
security|hiding pages with a snippet tutorial,468-470
snippets|hiding pages with,468-470
methods|hasSessionContext(),469
hasSessionContext() method,469
authenticating users,469
users|authenticating,469
login status,469
users|logged in or not,469
methods|sendErrorPage(),469
sendErrorPage() method,469
methods|sendUnauthorizedPage(),469
sendUnauthorizedPage() method,469
snippets|HidePages,469
tutorials|HidePages snippet,469
HidePages snippet tutorial,469
tutorials|hiding resources with ACL entries,470-474
hiding|resources with ACL entries tutorial,470-474
security|hiding resources with ACL entries tutorial,470-474
resources|hiding with ACL entries tutorial,470-474
Private Document,470
resources|Private Document,470
Private resource group,470
resource groups|Private,470
Create Resource Group dialog,470
dialogs|Create Resource Group,470
Create User Group dialog,471
dialogs|Create User Group,471
PrivateViewers user group,471
user groups|PrivateViewers,471
FeViewer role,471
roles|FeViewer,471
Create Role dialog,471
dialogs|Create Role,471
access policy templates|FeViewTemplate,471
FeViewTemplate access policy,471
Create Access Policy dialog,471
dialogs|Create Access Policy,471
policy templates|FeViewTemplate,471
access policies|FeView,471
policies|FeView,471
FeView policy,471
access policies|Load,471
policies|Load,471
Load policy,471
access policies|View,471
policies|View,471
View policy,471
Registered user,471
Unregistered user,471
users|Registered,471
users|Unregistered,471
Add User to Group dialog,472
dialogs|Add User to Group,472
Private resource group,472
resource groups|Private,472
roles|FeViewer,472
FeViewer role,472
access policies|FeView,472
policies|FeView,472
FeView policy,472
contexts|web,472
web context,472
Login page|creating,472-473
creating|Login page,472-473
tutorials|Login page,472-473
Login page|tutorial,472-473
Login snippet,472-473
snippets|Login,472-473
Tpl chunks,473
chunks|Tpl,473
redirecting users|on login,473-474
users|redirecting on login,473-474
flush permissions,474
loginResourceId property,474
Login page|loginResourceId property,474
redirecting users|on login,474
users|redirecting on login,474
system settings|error_page,475
error_page system setting,475
redirecting users|on page-not-found,475
users|redirecting on page-not-found,475
system settings|unauthorized_page,475
unauthorized_page system setting,475
avoiding the error page,475
error page|avoiding,475
users|anonymous,475
anonymous user,475
permissions|load,475
load permission,475
member role,475
roles|member,475
access policies|Load Only,475
policies|Load Only,475
Load Only policy,475
registering users,476-480
users|registering,476-480
Register snippet,476-480
snippets|Register,476-480
tutorials|Registering users,476-480
Registering users tutorial,476-480
resources|Register,477
Register resource,477
resources|Thanks for Registering,477
Thanks for Registering resource,477
resources|Confirm Registration,477
Confirm Registration resource,477
redirecting users|on registration,477-480
users|redirecting on registration,477-480
QuickEmail extra,479
troubleshooting|mail not sent,479
transport packages|QuickEmail,479
troubleshooting|email,479
user fields|active,479
active user field,479
users|active,479
active users,479
database|users table,479
users database table,479
UpdateProfile snippet,480
snippets|UpdateProfile,480
Profile snippet,480
snippets|Profile,480
snippets|ForgotPassword,480
ForgotPassword snippet,480
snippets|ResetPassword,480
ResetPassword snippet,480
snippets|ChangePassword,481
ChangePassword snippet,481
users|checking login status in snippets,481
redirecting users|based on login status,481
users|redirecting based on login status,481
users|redirecting with sendRedirect(),481
redirecting users|with sendRedirect(),481
checking user's login status,481
methods|hasSessionContext(),481
hasSessionContext() method,481
methods|makeUrl(),481
makeUrl() method,481
template variables|hiding in the Manager,481-484
tutorials|hiding template variables in the Manager with ACLs,481-484
security|hiding template variables in the Manager with ACLs tutorials,481-484
hiding|template variables in the Manager with ACLs tutorial,481-484
HiddenTVs resource group,482
resource groups|HiddenTVs,482
Create Resource Group dialog,482
dialogs|Create Resource Group,482
admin Super user,483
access policies|Resource,483
policies|Resource,483
Resource policy,483
Add Resource Group dialog,483
dialogs|Add Resource Group,483
contexts|mgr,483
mgr context,483
tutorials|hiding template variables in the front end,484-485
hiding|template variables in the front end tutorial,484-485
security|hiding template variables in the front end tutorial,484-485
hiddenTVs resource group,484
resource groups|HiddenTVs,484
Editor role,484
roles|Editor,484
access policies|Resource,484
policies|Resource,484
Resource policy,484
contexts|web,484
web context,484
redirecting users|based on custom permissions,485-488
users|redirecting based on custom permissions,485-488
tutorials|hiding resources with custom permissions,485-488
hiding|resources with custom permissions tutorial,485-488
resources|hiding with custom permissions tutorial,485-488
security|hiding resources with custom permissions tutorial,485-488
methods|hasPermission(),485
hasPermission() method,485
security|hasPermission() method,485
Private Document 2 resource,486
resources|Private Document 2,486
custom permissions|creating,486-487
creating|custom permissions,486-487
access policies|FeViewTemplate,486-487
policies|FeViewTemplate,486-487
FeViewTemplate access policy,486-487
my_allow_private permission,486-487
permissions|my_allow_private,486-487
Add Permission to Template dialog,486-487
dialogs|Add Permission to Template,486-487
permissions|allow_private,486
allow_private permission,486
Unauthorized resource,487
resources|Unauthorized,487
CheckPermission snippet,487-488
snippets|CheckPermission,487-488
methods|hasPermission(),488
hasPermission() method,488
methods|makeUrl(),488
makeUrl() method,488
methods|sendRedirect(),488
sendRedirect() method,488
users|redirecting with sendRedirect(),488
redirecting users|with sendRedirect(),488
methods|getChunk(),488
getChunk() method,488
redirecting users|based on tree_root_id setting,489-496
users|redirecting based on tree_root_id setting,489-496
tutorials|member pages with tree_root_id,489-496
member pages with tree_root_id tutorial,489-496
security|member pages with tree_root_id tutorial,489-496
user settings|tree_root_id,489
tree_root_id user setting,489
Member template,490-491
templates|Member,490-491
Members resource,489
resources|Member,489
redirecting users|based on login status,490
users|redirecting based on login status,490
users|redirecting with sendRedirect(),490
redirecting users|with sendRedirect(),490
MemberPages snippet,490-491
snippets|MemberPages,490-491
security|MemberPages snippet,490-491
methods|hasSessionContext(),490
hasSessionContext() method,490
methods|sendUnauthorizedPage(),490
sendUnauthorizedPage() method,490
methods|getOption(),490
getOption() method,490
methods|makeUrl(),490
makeUrl() method,490
system settings|tree_root_id,490
tree_root_id system setting,490
Create New Setting dialog,491
dialogs|Create New Setting,491
MemberPages plugin,492-493
plugins|MemberPages,492-493
users|redirecting with sendRedirect(),494-495
redirecting users|with sendRedirect(),494-495
security|MemberPages plugin,492-493
system events|OnUserFormRender,493
OnUserFormRender system event,493
system events|OnUserFormSave,493
OnUserFormSave system event,493
Evolution|security system,497-498
MODX Evolution|security system,497-498
security|in Evolution,497-498
manager users in Evolution,497-498
MODX Evolution|manager users,497-498
web users in Evolution,497-498
MODX Evolution|web users,497-498
Evolution|roles,498
MODX Evolution|roles,498
roles|in Evolution,498

#Chapter 11 Customizing the MODX Manager

customizing the MODX Manager,501-533
Manager|customizing,501-533
MODX|customizing the Manager,501-533
MODX Manager|customizing,501-533
Top Menu|altering,502-513
menu (see Top Menu)
MODX|menu (see Top Menu)
Manager menu (see Top Menu)
actions,502-508
Top Menu|actions,502-508
manager actions,502-508
menu tree,503-513
Top Menu|menu tree,503-513
Menu Update dialog,503
Update Menu dialog,503
Top Menu|Update Menu Dialog,503
handler for menu items,503-504
menu item handler,503-504
Top Menu|handler,503-504
Top Menu|removing items,503-504
removing|Top Menu items,503-504
menu item action,503-508
permissions|clear_cache,503
clear_cache permission,503
core lexicon,504-505
lexicon|for Top Menu items,504-505
lexicon keys|for Top Menu items,504-505
Top Menu|renaming items,504-505
renaming|Top Menu items,504-505
components|changing menu item for,504-505
changing component menu items,504-505
Batcher add-on component,504-507
Actions tree,505-506
Top Menu|Actions tree,505-506
index.php file|components,505-506
files|index.php (components),505-506
Batcher namespace path,505
namespace path (Batcher),505
Update Action dialog,505
dialogs|Update Action,505
controller,506
namespaces,506
load headers,506
lexicon topics,506
topics (lexicon),506
assets (in Update Action dialog),506
database|modx_actions table,506
modx_actions database table,506
Top Menu|handling menu clicks,507
handling clicks in the Top Menu,507
Top Menu|reordering,507-508
Top Menu|order of items,507-508
tutorials|modifying the Top Menu,507-512
modifying the Top Menu tutorial,507-512
Top Menu|lexicon keys,508
lexicon keys|for Top Menu items,508
lexicon|for Top Menu items,508
Top Menu|components,508
components Top Menu item,508
Top Menu|custom items,508-509
custom Top Menu items,508-509
MyMenu custom menu item,509
Top Menu|creating items,508-510
creating|new Top Menu items,508-510
Top Menu|removing items,508-510
removing|Top Menu items,508-510
Top Menu|hiding items,510-512
hiding|Top Menu items,510-512
Update Menu dialog,510
dialogs|Update Menu,510
custom permissions,510-512
permissions|custom,510-512
permissions|view_user,510
view_user permission,510
my_view_user permission,510
permissions|my_view_user,510
admin Super user,511-513
custom menus,513
menus (custom),513
user groups|custom menus for,513
form customization,513-523
Create/Edit Resource panel|altering with form customization,513-523
