#introduction

introduction,i-xiii
GitHub|creating an account,76-78
GitHub|creating an SSH key,77
generating a GitHum SSH key,77
GitHub|forking MODX,78-79
GitHub|cloning a fork of MODX,78-79
creating|fork of MODX at GitHub,78-79
cloning a fork at GitHub,78-79
Git|fetch,80-81
fetch (Git),80-81
Git|checkout,80
checkout (Git),80
creating|branch with Git,84
Git|tracking branches,80
tracking branches (Git),80
Git|origin remote,80
Git|upstream remote,80
Git|creating a remotes,80
Git|remotes,80
origin remote (Git),80
upstream remote (Git),80
Git|merge,81
merge (Git),81
Git|--ff-only merges,81
-ff=only merge (Git),81
Git|deleting branches,82
removing|branches (Git),82
deleting|branches (Git),82
Git|deleting remotes branches,82
Git|push,82
push (Git),82
Git|contributor workflow,83-89
contributor workflow in Git,83-89
bug fixes in Git,84
Git|bug fixes in,84
contributing a bug fix with Git,84
Git|editing commit messages,85
editing|commit messages (Git),85
commit messages (editing in Git),85
Git|contributing a new feature,86
contributing a new feature in Git,86
new feature in Git,86
MODX|building the development version,87
building the development version of MODX,87
MODX|build.config.php,87
files|MODX build.config.php,87
MODX|transport.core.php,87
files|MODX transport.core.php,76
updating development version of MODX,88
development version of MODX|updating,88
Git|updating development version of MODX,88
Git|checkout,88
checkout (Git),88
Git|fetch,88
Git|merge,88
fetch (Git),88
merge (Git),88
Git|--ff-only merges,88
-ff-only merge (Git),88
MODX|porting an existing site to,89-94
porting an existing site to MODX,89-94
moving a site to MODX,89-94
converting a site to MODX,89-94
porting a template to MODX,90
template|porting to MODX,90
porting content to MODX,91
converting a template to MODX,90
config.inc.php file|Evolution,95
files|config.inc.php for Evolution,95
Evolution|config file,95
MODX Evolution|config file,95
files|Evolution config,95
installing MODX|Evolution,96
Evolution|file and directory permissions,95
MODX Evolution|file and directory permissions,95
file permissions in Evolution,95
Evolution|installing,96
MODX Evolution|installing,96
Evolution|configuration check,96
MODX|configuration check (Evolution),96
installing MODX|configuration check (Evolution),96
configuration check|Evolution,96
installing|Evolution add-on components,96
Evolution|installing add-on components,96
MODX Evolution|installing add-on components,96
add-on components|in Evolution,96
Evolution|fURLs,97
MODX Evolution|fURLs,97
FURLs|in Evolution,97
friendly URLs|in Evolution,97
MODX Evolution|friendly URLs,97
Evolution|development version,97
development version of Evolution,97

#Chapter 3 The MODX Manager

Manager,99-132
MODX Manager,99-132
MODX|Manager,99-132
Manager|trees,99-109
MODX Manager|trees,99-109
MODX|Manager trees,99-109
Resource tree,100-104
Manager|Resource tree,100-104
admin Super user,101
Resource tree|icons,101
icons|Resource tree,101
Resource tree|sorting,101
Resource tree|menuindex,101
sorting Resource tree,101
menuindex (and Resource tree sorting),101
Resource tree|deleting resources,103
removing|resources,102-103
deleting|resources,102-103
resources|deleting,102-103
purging resources,102
Resource tree|purging resources,102
MODX|deleting resources,102-103
Resource tree|type style,102
type style of Resource tree,102
Resource tree|right-click menu,103
right-click menu|Resource tree,103
View Resource,103
Resource tree|View Resource,103
Resource tree|Edit Resource,103
Editing|resources,103
Edit Resource,103
Resource tree|Quick Update Resource,103
Quick Update|resources,103
Duplicate Resource,103
Resource tree|Duplicate Resource,103
resources|duplicating,103
weblink|Create,103
document|Create,103
resources|Create,103
creating|resources,103
creating|weblinks,103
weblinks|creating,103
creating|symlinks,103
symlinks|creating,103
static resources|creating,103
creating|static resources,103
Quick Create|resources,103
resources|Quick Create,103
weblinks|Quick Create,103
Quick Create|weblinks,103
symlinks|Quick Create,103
Quick Create|symlinks,103
static resources|Quick Create,103
Quick Create|static resources,103
resources|publishing,103
publishing resources,103
undeleting|resources,103
resources|undeleting,103
resources|preview,103
previewing resources,103
MODX|Element tree,104-106
Element tree,104-106
Manager|Element tree,104-106
MODX Manager|Element tree,104-106
Element tree icons,104
icons|Element tree,104
categories,105
element categories,105
categories|creating,105
categories|placing elements in,105
admin Super user,106
right-click menu|Element tree,106
Element tree|right-click menu,106
Element tree|Create New Element Here,106
Create New Element Here,106
elements|creating,106
creating|elements,106
Quick Create|elements,106
Element tree|Quick Create,106
creating|categories,106
categories|creating,106
Remove Category,106
categories|removing,106
removing|categories,106
deleting|categories,106
Element tree|Edit,106
Edit Element,106
elements|editing,106
Quick Update|elements,106
elements|Quick Update,106
removing|elements,106
elements|removing,106
File tree,106-109
Manager|File tree,106-109
MODX Manager|File tree,106-109
icons|File tree,107
File tree|icons,107
right-click menu|File tree,108-109
File tree|right-click menu,108-109
Create Directory Here,108
Create Directory dialog,108
dialogs|Create Directory,108
directories|chmod,108
setting|directory permissions,108
directory permissions,108
chmod directory dialog,108
File tree|chmod directory,108
dialogs|chmod directory,108
creating|directories,108
directories|creating,108
directories|setting permissions,108
files|setting permissions,108
setting|file permissions,108
setting|directory permissions,108
upload files,108
